threshold,fn,fp,approval_rate,cost
0.0,0,56538,0.0,8480.699999999999
0.01,7,54970,0.025608506902102337,8252.5
0.02,102,47325,0.15145602653529097,7200.75
0.03,318,38760,0.2942295497780596,6132.0
0.04,562,31936,0.4091507731330179,5352.4
0.05,845,26498,0.5021706258231305,4819.7
0.06,1074,22448,0.5717444677495407,4441.2
0.07,1270,19161,0.6283758515844755,4144.15
0.08,1514,16383,0.6775116660975887,3971.45
0.09,1702,14103,0.7176397899289465,3817.45
0.1,1899,12274,0.7505812724582541,3740.1
0.11,2089,10701,0.779246540819147,3694.1499999999996
0.12,2266,9344,0.8041884135733216,3667.6
0.13,2444,8241,0.8250166658536982,3680.1499999999996
0.14,2595,7251,0.8435686064094434,3682.6499999999996
0.15,2750,6425,0.8595190478513244,3713.75
0.16,2890,5702,0.8735508836967303,3745.3
0.17,3029,5053,0.8863632668325122,3786.95
0.18,3150,4503,0.8972733037412809,3825.45
0.19,3252,4004,0.9070451847877339,3852.6
0.2,3375,3541,0.9165731752922621,3906.15
0.21,3470,3178,0.924019966505699,3946.7
0.22,3579,2862,0.9309301985269012,4008.3
0.23,3657,2573,0.9368973871193275,4042.95
0.24,3735,2327,0.9421654228249029,4084.05
0.25,3818,2088,0.9474009397915549,4131.2
0.26,3897,1894,0.951839747654586,4181.1
0.27,3963,1685,0.9563110742565404,4215.75
0.28,4037,1510,0.9603596572524917,4263.5
0.29,4104,1373,0.9636765686226688,4309.95
0.3,4167,1233,0.9669772206233842,4351.95
0.31,4218,1108,0.969838869648635,4384.2
0.32,4279,985,0.972830593629579,4426.75
0.33,4322,882,0.9752044615709803,4454.3
0.34,4368,779,0.9776271076207664,4484.85
0.35000000000000003,4410,713,0.9793831195226249,4516.95
0.36,4440,640,0.9810578345771751,4536.0
0.37,4481,572,0.9828301058484952,4566.8
0.38,4520,498,0.9846674145976619,4594.7
0.39,4551,447,0.9860006828935174,4618.05
0.4,4582,401,0.9872526543420647,4642.15
0.41000000000000003,4610,350,0.9885371445295351,4662.5
0.42,4635,316,0.9894964473277726,4682.4
0.43,4658,274,0.99055330634278,4699.1
0.44,4694,246,0.9915939059883258,4730.9
0.45,4718,217,0.9924556525697933,4750.55
0.46,4735,192,0.9931385460871828,4763.8
0.47000000000000003,4756,173,0.9937889208656489,4781.95
0.48,4774,152,0.9944230362746532,4796.8
0.49,4794,138,0.9949758548363494,4814.7
0.5,4804,114,0.9955286733980456,4821.1
0.51,4814,103,0.9958701201567404,4829.45
0.52,4832,97,0.99626034502382,4846.55
0.53,4842,79,0.9967156073687462,4853.85
0.54,4856,70,0.9970895728663642,4866.5
0.55,4866,60,0.9974147602555973,4875.0
0.56,4879,52,0.997756207014292,4886.8
0.5700000000000001,4892,45,0.9980813944035251,4898.75
0.58,4895,36,0.9982765068370648,4900.4
0.59,4901,31,0.998455359901143,4905.65
0.6,4914,26,0.9987480285514527,4917.9
0.61,4918,23,0.9988618441376843,4921.45
0.62,4921,20,0.9989594003544543,4924.0
0.63,4924,15,0.9990894753101475,4926.25
0.64,4929,14,0.9991870315269173,4931.1
0.65,4938,11,0.9993821439604572,4939.65
0.66,4941,9,0.9994634408077655,4942.35
0.67,4948,6,0.999626034502382,4948.9
0.68,4950,6,0.9996585532413053,4950.9
0.6900000000000001,4954,5,0.9997398500886135,4954.75
0.7000000000000001,4956,3,0.9998048875664601,4956.45
0.71,4958,2,0.9998536656748451,4958.3
0.72,4958,1,0.9998699250443068,4958.15
0.73,4959,1,0.9998861844137684,4959.15
0.74,4962,1,0.9999349625221534,4962.15
0.75,4962,1,0.9999349625221534,4962.15
0.76,4962,1,0.9999349625221534,4962.15
0.77,4962,1,0.9999349625221534,4962.15
0.78,4964,1,0.9999674812610767,4964.15
0.79,4964,1,0.9999674812610767,4964.15
0.8,4965,0,1.0,4965.0
0.81,4965,0,1.0,4965.0
0.8200000000000001,4965,0,1.0,4965.0
0.8300000000000001,4965,0,1.0,4965.0
0.84,4965,0,1.0,4965.0
0.85,4965,0,1.0,4965.0
0.86,4965,0,1.0,4965.0
0.87,4965,0,1.0,4965.0
0.88,4965,0,1.0,4965.0
0.89,4965,0,1.0,4965.0
0.9,4965,0,1.0,4965.0
0.91,4965,0,1.0,4965.0
0.92,4965,0,1.0,4965.0
0.93,4965,0,1.0,4965.0
0.9400000000000001,4965,0,1.0,4965.0
0.9500000000000001,4965,0,1.0,4965.0
0.96,4965,0,1.0,4965.0
0.97,4965,0,1.0,4965.0
0.98,4965,0,1.0,4965.0
0.99,4965,0,1.0,4965.0
1.0,4965,0,1.0,4965.0
